fecha,pais,dist_num_A,agot_num_A,ventas_unidades_A,ppu_A,inventarios_A,share_A,inversion_promos_A,inversion_promos_tv_A,dist_num_B,agot_num_B,ventas_unidades_B,ppu_B,inventarios_B,share_B
01/02/18,EL,62,5,3075700,3.28055272,4446800,0.440070968,12360,9660,58,4,2587600,3.47888584,3268900,0.37023365
01/03/18,EL,60,3,3208900,3.254235408,4353400,0.437919646,12366.66667,10116.66667,59,4,2666800,3.4617596,3422700,0.36393908
01/04/18,EL,61,4,3073300,3.258278723,4327300,0.437337242,0,0,59,5,2479400,3.4350607,3514700,0.352823986
01/05/18,EL,62,4,3212800,3.237168825,4287200,0.445782631,0,0,59,4,2593900,3.4434851,3426600,0.359908979
01/06/18,EL,61,3,3130100,3.199176224,4525200,0.448078905,0,0,61,4,2499000,3.437551821,3349100,0.357735914
01/07/18,EL,62,3,3363500,3.194573361,4246400,0.455653847,0,0,60,5,2561300,3.424587319,3385400,0.346979693
01/08/18,EL,63,5,3172300,3.199602181,3948000,0.43910913,0,0,60,6,2646000,3.401269841,3308600,0.36625879
01/09/18,EL,63,5,3196600,3.181185322,4087300,0.448828295,0,0,58,4,2312400,3.427322479,3477800,0.324679519
01/10/18,EL,63,4,3149400,3.20153426,4012800,0.450757847,0,0,58,8,2285300,3.400568634,3277500,0.327083542
01/11/18,EL,63,4,3118000,3.207592848,4217900,0.443174711,0,0,57,3,2252800,3.392731712,2832900,0.320200125
01/12/18,EL,63,3,3359500,3.218612293,4220700,0.452604209,0,0,59,5,2419700,3.411386949,2964100,0.325990893
01/01/19,EL,64,4,3559400,3.204442041,4364200,0.481579197,0,0,57,4,2349200,3.46852801,3118700,0.317841729
01/02/19,EL,64,4,3180700,3.194793442,5022400,0.454704007,0,0,58,5,2316300,3.434682684,3126600,0.331131792
01/03/19,EL,66,4,3357900,3.230449239,4061600,0.470801845,0,0,57,5,2400700,3.419570125,3054900,0.336595488
01/04/19,EL,64,4,3122500,3.22587462,4050900,0.465843143,0,0,57,6,2177400,3.45370304,3023400,0.32484447
01/05/19,EL,65,5,3063800,3.224729421,4284400,0.459188873,0,0,54,3,2121500,3.409023097,2819500,0.317961092
01/06/19,EL,64,6,3286300,3.232277637,3950900,0.466770826,0,0,55,5,2280800,3.448755261,2652900,0.323954265
01/07/19,EL,65,5,3318100,3.197345619,4006600,0.464251735,0,0,57,5,2222800,3.440752879,2731000,0.31100291
01/08/19,EL,64,5,3301800,3.240372676,3841700,0.452109378,0,0,57,4,2422200,3.439844563,2743400,0.331667374
01/09/19,EL,65,4,3174200,3.215680959,4060000,0.445283019,0,0,57,6,2356500,3.419962656,2486400,0.330574455
01/10/19,EL,65,4,3194400,3.223483127,3959800,0.446082949,0,0,55,5,2316600,3.418029656,2383300,0.323502304
01/11/19,EL,65,4,2941700,3.236175171,3691400,0.430255518,0,0,52,4,2227900,3.362171103,2555900,0.325854529
01/12/19,EL,66,4,2956700,3.253149795,3734600,0.418422654,0,0,53,4,2353700,3.401690105,2648200,0.333088038
01/01/20,EL,65,5,2973600,3.319435028,3507200,0.441947566,0,0,57,5,2257500,3.41976124,2731600,0.335518102
01/02/20,EL,65,3,2767300,3.330687674,3492800,0.426617951,0,0,57,5,2263200,3.449774876,2534300,0.348903894
01/03/20,EL,65,3,2940400,3.331791933,3503400,0.437344756,0,0,57,3,2356600,3.439840872,2648600,0.350512397
01/04/20,EL,64,6,2567300,3.21032057,3075100,0.520782198,0,0,55,2,1381500,3.490051031,2510200,0.280240177
01/04/17,HD,46,6,3232000,3.017187345,3336300,0.257363773,0,0,83,8,8245800,2.842820224,6899700,0.656612067
01/05/17,HD,45,5,3066900,3.037143859,3460000,0.249822829,0,0,82,7,8122100,2.844684564,6765600,0.661608139
01/06/17,HD,46,6,3047900,3.050879458,3281800,0.264514953,0,0,82,8,7436300,2.864171295,6273600,0.645366497
01/07/17,HD,45,3,2744700,3.095020403,3528700,0.248202707,0,0,82,7,7306400,2.875099297,6932100,0.660716385
01/08/17,HD,47,6,2761300,3.042582841,3496500,0.263186488,0,0,82,6,6789300,2.887477575,7490100,0.647105358
01/09/17,HD,47,4,2485300,3.058560335,3603000,0.24645485,0,0,81,7,6723300,2.945106867,7572700,0.666716249
01/10/17,HD,46,6,2579600,3.057292604,3522500,0.251435255,0,0,80,4,6682600,2.971502409,6735300,0.651357279
01/11/17,HD,46,5,2629700,3.032012587,3170000,0.259903143,0,0,80,3,6540800,2.940215646,6727800,0.646451868
01/12/17,HD,45,4,2778600,3.018436983,2953400,0.26780138,0,0,80,5,6693400,2.928742941,7338700,0.64510968
01/01/18,HD,45,4,2721100,3.02996766,3037300,0.259865154,0,0,82,4,6800900,2.957356159,7115600,0.64948621
01/02/18,HD,47,2,2775300,3.063722661,3320500,0.274706022,0,0,84,4,6404700,2.957515574,7063800,0.633952964
01/03/18,HD,48,3,2722500,3.02489348,3520900,0.259981474,0,0,83,2,6759300,2.949719202,7444000,0.645470259
01/04/18,HD,49,6,2576100,2.999018089,3325800,0.259585445,0,0,85,6,6413300,2.936878362,6728300,0.646247947
01/05/18,HD,47,5,2400300,3.023019831,3534000,0.247387298,0,0,82,8,6239900,2.905287745,6607300,0.643116278
01/06/18,HD,45,4,2478400,2.995827147,3146100,0.257812175,0,0,79,6,6014700,2.886547708,6603600,0.625670952
01/07/18,HD,44,5,2375300,2.942577148,3033900,0.239144224,0,0,80,5,6358200,2.863674546,5987600,0.640140951
01/08/18,HD,44,4,2316800,2.92046206,2858700,0.240819084,0,0,81,7,6216000,2.82681982,6747200,0.646120264
01/09/18,HD,43,4,2332400,2.953810024,2849100,0.242531377,0,0,82,5,6254900,2.825961966,7513100,0.650407096
01/10/18,HD,43,4,2175000,2.943551494,2906800,0.225461029,0,0,79,7,6388100,2.814376184,7414500,0.662192
01/11/18,HD,44,2,2449300,2.917657902,3179500,0.23206875,0,0,79,4,7016600,2.8007592,6777400,0.664815903
01/12/18,HD,47,3,2657300,2.926163587,3288200,0.229364292,0,0,81,5,7775700,2.780577311,6756300,0.671157913
01/01/19,HD,44,4,2683500,2.906617291,3166300,0.246944823,0,0,80,4,7099500,2.754541658,6664600,0.653320205
01/02/19,HD,44,2,2505700,2.931834218,2885900,0.250157241,18005.65648,15720.54327,82,7,6519000,2.728634146,6346100,0.650826137
01/03/19,HD,45,5,2661600,2.922010821,2919600,0.257112221,16260.86598,11156.23345,82,7,6708700,2.735919329,6362000,0.648064606
01/04/19,HD,43,3,2371800,2.898523273,2807800,0.246594997,0,0,82,6,6343100,2.764883574,6404800,0.659489302
